prot_b210_1ai5.pdb,MNP_1;
prot_dt198_2c6n.pdb,LPR_705;
prot_dt198_1lu1.pdb,ADE_601;
prot_dt198_1q6i.pdb,FK5_301;
prot_b210_1bgo.pdb,I10_300;
prot_dt198_2bxn.pdb,IDB_2001;IDB_2002;
prot_b210_5cpp.pdb,HEM_417;ADN_422;
prot_b210_1aec.pdb,E64_25;
prot_b210_1ejn.pdb,AGB_800;
prot_b210_5p2p.pdb,CA_125;DHG_126;
prot_b210_3gch.pdb,CIN_246;
prot_dt198_1p7r.pdb,NCT_440;
prot_dt198_1ki2.pdb,GA2_1;
